applicants,apply_type,base_salary,company_address_type,company_country,company_employees_on_linkedin,company_followers_on_linkedin,company_founded,company_headquarters,company_id,company_industry,company_locality,company_name,company_organization_type,company_postal_code,company_region,company_size,company_slogan,company_specialties,company_street,employment_type,industries,job_function,location,posted_datetime,seniority_level,title,skills
Be among the first 25 applicants,External Apply,,PostalAddress,US,193,8148,2008,"Reston, VA",327412,Advertising Services,Reston,Resonate,Privately Held,20190,VA,51-200 employees,"The deepest, freshest, most actionable consumer data. One easy-to-use, AI-driven platform ready for a post-cookie world.","Intelligence-to-Activation, Marketing Analytics, Online advertising, Values and motivations based marketing, Brand marketing, Attitudinal targeting, Political campaign advertising, Brand advertising, Issue advocacy advertising, Consumer Insights, Media Activation , Data, Digital Marketing, Consumer Research, Market Segmentation, Digital Marketing Measurement, Marketing Insights, Advertising Insights, Marketing Planning, Advertising Planning, Customer Experience Planning, AI-Driven Insights, Marketing Data, Customer Data, Data Enrichment, Marketing Research, Market Research, DMP, CDP, Data Append, Custom Research, Marketing Activation, Advertising Activation, Segmentation, Managed Media, Media Planning, Customer Acquisition, Customer Engagement, Advertising Analytics, Marketing Performance, ROAS, Advertising Targeting, Audience Insights, Agile Marketing, Psychographic Data, Consumer Sentiment Tracking, Consumer Trends, Voter Data, Voter Targeting, and Voter Insights",11720 Plaza America Drive,Full-time,"Technology, Information and Internet",Product Management and Marketing,"Washington, DC",18/01/2025 3:37,Mid-Senior level,Senior Product Owner- Data & Website Personalization,"['excel', 'aws', 'statistics']"
25 applicants,Easy Apply,,,,16,193017,2023,,93822074,Software Development,,HustleWing - Side hustles for professionals,Privately Held,,,2-10 employees,Launch a new income stream in stealth mode.,,,Part-time,"Software Development and Technology, Information and Media",Research,United States,,Associate,User Experience Researcher,['excel']
46 applicants,External Apply,$10.00/hr - $50.00/hr,PostalAddress,US,395,49233,2019,"Redwood City, California",68302528,Software Development,Redwood City,Snorkel AI,Privately Held,94063,California,51-200 employees,The data-centric AI platform powered by programmatic labeling and foundation models,"enterprise ai, weak supervision, programmatic labeling, artificial intelligence, machine learning, data science, technology, software, foundation models, LLM, Generative AI, GPT-3, ChatGPT, NLP, computer vision, and document intelligence",55 Perry St,Full-time,Software Development,Management and Manufacturing,United States,,Entry level,Data Annotator - Computer Science & AI Contributor (Contract),"['excel', 'machine learning']"
Be among the first 25 applicants,External Apply,"$130,000.00/yr - $160,000.00/yr",PostalAddress,US,198,15909,2008,New York,2184099,Venture Capital and Private Equity Principals,New York,ff Venture Capital,Privately Held,,,11-50 employees,,,,Full-time,Venture Capital and Private Equity Principals,Engineering and Information Technology,"Incline Village, NV",18/01/2025 21:41,Mid-Senior level,Senior Data Scientist,"['python', 'sql', 'excel', 'tableau', 'machine learning', 'aws', 'hadoop', 'spark', 'statistics', 'big data', 'brick', 'database']"
92 applicants,External Apply,$20.00/hr - $40.00/hr,PostalAddress,US,87991,570870,,"Bellevue, WA",1392,Telecommunications,Bellevue,T-Mobile,Public Company,98006,WA,"10,001+ employees",,"IoT, Retail, 5G for All, Future of 5G, Business Sales, Customer Care, Business Wireless, Consumer Wireless, Technology, Internships & Returnships, DE&I, and Benefits & Perks",12920 SE 38th St,Internship,Telecommunications,Information Technology,"Overland Park, KS",18/01/2025 0:18,Internship,Summer 2025 Data Engineer Internship,"['python', 'sql', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'big data', 'data warehouse', 'snowflake', 'brick', 'sql server']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,862,1787,,,1166377,Primary and Secondary Education,,Burlington School District,Educational,5401,,"1,001-5,000 employees","BSD: Cultivating Caring, Creative, and Courageous People- Join the Journey!",,,Part-time,Primary and Secondary Education,Information Technology,"Burlington, VT",17/01/2025 0:00,Entry level,District Data Specialist,"['sql', 'aws', 'database']"
Be among the first 25 applicants,External Apply,,,,14,113,,,96644436,Financial Services,,Logistics Management Institute,Public Company,,,2-10 employees,,,,Full-time,Financial Services,Engineering and Information Technology,"Pittsburgh, PA",18/01/2025 4:43,Mid-Senior level,Data Scientist - Clearance Required,"['python', 'sql', 'excel', 'machine learning', 'spark', 'data visualization', 'big data']"
Be among the first 25 applicants,External Apply,"$90,000.00/yr - $180,000.00/yr",PostalAddress,US,16,1843,2017,"Highland, Maryland",11768307,Software Development,Highland,"Akina, Inc",Privately Held,20777,Maryland,11-50 employees,Consult | Design | Engineer | Implement ,"Software Development, Systems Engineering, Systems Integration, Project Management, Computer Networking, Virtualization and Cloud Computing, DevOps, and Systems Development",7001 Gardner Ln,Full-time,Software Development,Engineering and Information Technology,"Annapolis, MD",18/01/2025 4:52,Entry level,Software Engineer - 0 (Python/GitOps),"['python', 'excel', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,54955,197086,,"Atlanta, Georgia",27156989,Restaurants,Atlanta,Inspire,Privately Held,30328,Georgia,"10,001+ employees",A Restaurant Company Unlike Any Other,,Three Glenlake Parkway NE,Full-time,Restaurants,Information Technology,"Atlanta, GA",18/01/2025 8:16,Mid-Senior level,Senior Data Engineer,"['python', 'sql', 'tableau', 'azure', 'data warehouse', 'snowflake', 'database']"
Be among the first 25 applicants,External Apply,"$155,000.00/yr - $190,000.00/yr",PostalAddress,US,135,16086,2016,"San Francisco, California",10638732,Financial Services,San Francisco,Nova Credit,Privately Held,94104,California,51-200 employees,To power a more fair and inclusive financial system for the world,,44 Montgomery St,Full-time,Financial Services,Business Development and Sales,"New York, NY",18/01/2025 20:15,Not Applicable,"Manager, Strategy & Analytics","['sql', 'excel', 'tableau', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,3177,50039,1957,"Los Angeles, CA",164581,Real Estate,Los Angeles,KB Home,Public Company,,CA,"1,001-5,000 employees",Built on Relationships,"Innovative Design, Personalization, Affordable New Homes, Partnership, Energy-Efficient Homes, and Water-Efficient Homes",10990 Wilshire Blvd.,Full-time,Real Estate,Business Development and Sales,"Austin, TX",18/01/2025 6:51,Entry level,Land Acquisition Analyst,"['excel', 'database']"
Be among the first 25 applicants,External Apply,,,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Engineering and Information Technology,"Charlotte, NC",18/01/2025 4:49,Mid-Senior level,AI/ML Engineer,"['python', 'machine learning', 'deep learning', 'aws', 'azure', 'brick']"
Be among the first 25 applicants,Easy Apply,"$80,000.00/yr - $100,000.00/yr",PostalAddress,SE,8690,359099,1983,Linköping,164301,Software Development,Linköping,IFS,Privately Held,SE-581 15,,"5,001-10,000 employees",Leader in Industrial AI & software for hardcore businesses driving our planet. Industrial AI is IFS.ai,"Enterprise Resource Planning (ERP), Business Software Solutions, Enterprise Asset Management (EAM), Enterprise Project Management (EPM), Field Service Management (FSM), Supply Chain Management (SCM), and Enterprise Service Management (ESM)",Teknikringen 5,Full-time,Software Development,Business Development and Sales,"Itasca, IL",18/01/2025 14:29,Entry level,License Management Analyst,['excel']
145 applicants,Easy Apply,"$180,000.00/yr - $200,000.00/yr",PostalAddress,GB,270,430952,2000,"Reading, Berkshire",401618,Staffing and Recruiting,Reading,Premier Group,Privately Held,RG1 3BA,Berkshire,51-200 employees,Your award-winning global talent partner delivering staffing solutions across the Technology and Engineering sectors,"Contract, Freelance, Interim, Technology Recruitment, Cyber, Data, Software Development, AI/ML, Cloud, D365, IT Staffing, and Engineering",,Full-time,Financial Services,Information Technology,"Dallas, TX",18/01/2025 0:37,Mid-Senior level,Senior Data Engineer,"['python', 'sql', 'azure']"
Be among the first 25 applicants,Easy Apply,"$75,000.00/yr - $105,000.00/yr",PostalAddress,US,119,291293,2018,"New York, NY",27179912,Staffing and Recruiting,New York,Arrow Search Partners,Partnership,10016,NY,51-200 employees,,,275 Madison Ave,Full-time,Staffing and Recruiting,"Research, Analyst, and Information Technology","New York, NY",18/01/2025 23:11,Entry level,Yardi Business Analyst,[]
Be among the first 25 applicants,External Apply,,PostalAddress,US,2,4317,2006,"Washington, DC",90426493,Business Consulting and Services,Washington,Get It - Real Estate,Privately Held,20036,DC,2-10 employees,Empowering real estate businesses to optimize operations and drive growth.,,1201 Connecticut Ave NW,Full-time,Business Consulting and Services,Engineering and Information Technology,"Washington, DC",18/01/2025 20:39,Not Applicable,Remote Data Scientist Advisor (Flexible Hybrid) | WFH,"['python', 'sql', 'excel', 'tableau', 'machine learning', 'aws', 'data visualization', 'data analytics', 'statistics', 'big data']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,3696,45043,,"New York, NY",476416,Broadcast Media Production and Distribution,New York,Hearst Television,Privately Held,10019-3741,NY,"1,001-5,000 employees",,"Broadcasting, Television, and News",300 W 57th St,Full-time,Broadcast Media Production and Distribution,Engineering and Information Technology,"Troy, MI",18/01/2025 4:46,Mid-Senior level,AI Big Data Engineer,"['python', 'sql', 'excel', 'tableau', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'big data', 'snowflake', 'brick', 'sql server', 'database']"
Be among the first 25 applicants,External Apply,,PostalAddress,US,4590,65965,1866,"Queens, New York",245926,Hospitals and Health Care,Queens,NYC Department of Health and Mental Hygiene,Government Agency,10013,New York,"5,001-10,000 employees",Promoting and protecting the health of all New Yorkers.,,42-09 28th Street,Full-time,Hospitals and Health Care,Project Management and Information Technology,"Manhattan, NY",18/01/2025 17:52,Internship,Project Management Grad Intern,"['excel', 'aws']"
Over 200 applicants,External Apply,"$46,800.00/yr - $86,600.00/yr",PostalAddress,US,24636,596443,,"Chicago, IL",1771432,Telecommunications,Chicago,Motorola Solutions,Public Company,60661,IL,"10,001+ employees",Solving for safer,"Public Safety, Enterprise Security, Two-way Radios, Radios, Land Mobile Radios (LMR), Video Cameras, Body-worn Cameras, Access Control, Video Analytics, Cloud, Public Safety Software, Real-time Crime Centers, Cybersecurity, Broadband, and Managed Services",500 W. Monroe Street,Full-time,Telecommunications,Business Development and Sales,"Chicago, IL",17/01/2025 23:33,Entry level,Sales Operations Data Analyst,"['python', 'sql', 'excel', 'power bi', 'tableau', 'data visualization']"
Be among the first 25 applicants,External Apply,,,,2,716,2008,,1762307,Advertising Services,,Slalom Marketing Consulting,Public Company,,,1 employee,,"Marketing strategy development, Brand development, Communications, Events, and Lead generation campaigns",,Full-time,Advertising Services,Information Technology,"Charlotte, NC",18/01/2025 4:45,Entry level,Data Governance Analyst,['aws']
Be among the first 25 applicants,Easy Apply,,PostalAddress,US,5,22281,,"Atlanta, Georgia",64564430,Business Consulting and Services,Atlanta,Swipe Say Easy,Privately Held,30310,Georgia,11-50 employees,"At Swipe Say Easy, we believe in a healthy dose of play to fuel our work",,920 Murphy Ave SW,Full-time,"Events Services, Marketing Services, and Strategic Management Services","Management, Advertising, and Business Development","Philadelphia, PA",18/01/2025 22:51,Entry level,Marketing Specialist,['excel']
Be among the first 25 applicants,External Apply,,PostalAddress,US,25018,1207405,1923,"Chicago, Illinois",69088863,Information Services,Chicago,NielsenIQ,Privately Held,60606,Illinois,"10,001+ employees",The world's leading consumer intelligence company.​,,200 W Jackson Blvd,Full-time,Information Services,Information Technology,"Chicago, IL",18/01/2025 4:45,Mid-Senior level,Senior Data Engineering,"['python', 'power bi', 'tableau', 'aws', 'azure', 'spark', 'data visualization', 'big data', 'brick']"
Be among the first 25 applicants,External Apply,$20.00/hr - $25.00/hr,PostalAddress,US,25874,1074839,1983,"Hanover, MD",2152,IT Services and IT Consulting,Hanover,TEKsystems,Privately Held,21076,MD,"10,001+ employees",Partners in Transformation,"IT Services, IT Talent Management Expertise, Staffing Services, Digital Services, Advisory Services, Co-led Services, Enterprise Services, DevOps and Automation, Risk & Security, Cloud Enablement and Migration, Enterprise Applications, Telecom Design and Implementation, and Technology Operations",7437 Race Road,Full-time,IT Services and IT Consulting,Finance and Sales,"Austin, TX",18/01/2025 7:20,Mid-Senior level,Fraud Specialist,"['excel', 'statistics']"
Be among the first 25 applicants,Easy Apply,,PostalAddress,GB,616,72537,1989,"Wallingford, Oxfordshire",150566,Market Research,Wallingford,MMR Research,Privately Held,OX10 6SL,Oxfordshire,"501-1,000 employees",Global sensory & consumer research partner to the world's leading CPGs - from New York to London to Shanghai.,"research, marketing, insight, sensory, quantitative, qualitative, food, drink, beverage, FMCG, CPG, packaging, concept, CLT, HUT, emotionality, brands, claims, personal care, statistics, innovation, product research, sensory branding, and Agile Research",104-110 Crowmarsh Battle Barns,Full-time,IT Services and IT Consulting,"Research, Analyst, and Information Technology","Atlanta, GA",24/12/2024 16:19,Director,Sensory Research Centre Manager,['excel']
